2026-04-24 23:28:02,TEST,Vérification du journal d'activité
2026-04-26 20:05:45,AJOUT,Transaction #1 : 3000000.0 FCFA - salaire
2026-04-27 00:17:27,DEMARRAGE,Application FinTrack démarrée
2026-04-27 13:27:54,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:31,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:31,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:31,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:31,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:31,AJOUT,Transaction #2 : -5500.0 FCFA - Achat riz
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,AJOUT,Transaction #3 : 75000.0 FCFA - Salaire
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,AJOUT,Transaction #4 : 75000.0 FCFA - Salaire
2026-04-27 23:45:32,AJOUT,Transaction #5 : -5500.0 FCFA - Achat riz
2026-04-27 23:45:32,AJOUT,Transaction #6 : -1500.0 FCFA - Transport zem
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,AJOUT,Transaction #7 : 75000.0 FCFA - Salaire
2026-04-27 23:45:32,AJOUT,Transaction #8 : -5500.0 FCFA - Achat riz
2026-04-27 23:45:32,SUPPRESSION,Transaction #1 supprimée !
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,AJOUT,Transaction #9 : -5500.0 FCFA - Achat riz
2026-04-27 23:45:32,AJOUT,Transaction #10 : -1500.0 FCFA - Transport zem
2026-04-27 23:45:32,AJOUT,Transaction #11 : -2000.0 FCFA - Achat huile
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-27 23:45:32,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,AJOUT,Transaction #12 : -5500.0 FCFA - Achat riz
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,AJOUT,Transaction #13 : 75000.0 FCFA - Salaire
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,AJOUT,Transaction #14 : 75000.0 FCFA - Salaire
2026-04-28 00:00:19,AJOUT,Transaction #15 : -5500.0 FCFA - Achat riz
2026-04-28 00:00:19,AJOUT,Transaction #16 : -1500.0 FCFA - Transport zem
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,AJOUT,Transaction #1 : 75000.0 FCFA - Salaire
2026-04-28 00:00:19,AJOUT,Transaction #2 : -5500.0 FCFA - Achat riz
2026-04-28 00:00:19,SUPPRESSION,Transaction #1 supprimée !
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:19,AJOUT,Transaction #1 : -5500.0 FCFA - Achat riz
2026-04-28 00:00:19,AJOUT,Transaction #2 : -1500.0 FCFA - Transport zem
2026-04-28 00:00:19,AJOUT,Transaction #3 : -2000.0 FCFA - Achat huile
2026-04-28 00:00:20,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:20,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:20,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:20,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:20,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:20,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:20,DEMARRAGE,Application FinTrack démarrée
2026-04-28 00:00:20,DEMARRAGE,Application FinTrack démarrée
